annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
25035;SAMEDI;22/03/2025;20/06/2025;3;49;36;20;23;6;3-20-23-36-49+6;0;7000000,00;2;129261,30;51;1237,20;467;487,30;2194;61,90;21233;23,00;32629;11,60;322232;4,60;461212;2,20;10;20000,00;E 5055 0682, O 5780 6104, G 0703 4225, S 9599 9083, E 7857 7218, T 1075 2962, O 8829 5393, C 1200 2212, M 8907 4785, M 5857 6459;9;12;28;31;47;;9-12-28-31-47;1;180269,00;474;341,00;18910;21,90;247458;3,00;2678705;eur;
25034;MERCREDI;19/03/2025;17/06/2025;15;14;3;45;12;3;3-12-14-15-45+3;0;6000000,00;0;176186,40;58;3779,10;384;403,90;2581;35,90;18554;17,90;34008;7,60;265039;3,80;365983;2,20;10;20000,00;H 1195 4138, F 3011 4630, T 4942 8150, W 7586 7825, M 9797 7756, C 0002 6810, G 5265 5337, V 1488 9314, U 0788 2548, A 0223 4949;1;13;20;23;44;;1-13-20-23-44;1;127318,00;357;315,20;13664;21,10;176705;3,00;6088749;eur;
25033;LUNDI;17/03/2025;15/06/2025;16;32;26;9;20;7;9-16-20-26-32+7;0;5000000,00;0;125878,10;66;2372,70;348;318,40;2288;28,90;14015;17,00;30084;6,10;192119;3,80;395870;2,20;10;20000,00;V 8148 6770, V 1256 6086, R 6312 0246, E 8288 2749, K 8253 1104, F 3077 5677, M 4454 8205, S 2529 3746, G 8586 2878, P 7457 7633;1;15;24;43;47;;1-15-24-43-47;0;107300,00;158;753,80;7638;40,00;120055;3,00;6451303;eur;
25032;SAMEDI;15/03/2025;13/06/2025;27;6;31;21;40;7;6-21-27-31-40+7;0;4000000,00;2;105274,90;55;934,30;446;415,50;3187;34,70;20680;19,20;48354;6,40;308945;3,90;649456;2,20;10;20000,00;D 8452 0543, M 3147 6344, O 5481 6618, D 3017 5973, U 3673 8863, L 8599 8129, W 7573 5264, I 1232 7640, R 2242 2131, L 6354 8406;4;7;16;30;47;;4-7-16-30-47;4;43776,00;423;398,30;16941;25,50;226678;3,00;9586789;eur;
25031;MERCREDI;12/03/2025;10/06/2025;21;10;24;32;16;7;10-16-21-24-32+7;0;3000000,00;1;146041,40;61;584,30;394;326,30;2728;28,10;17260;16,00;36538;5,80;228145;3,70;473005;2,20;10;20000,00;C 3469 8002, P 2645 3472, J 7937 6266, E 2161 0423, C 4422 0538, C 4630 0645, C 8565 3701, S 0639 6386, Q 9325 7314, D 5322 2260;10;13;19;20;26;;10-13-19-20-26;5;24676,00;552;164,30;17207;13,50;193075;3,00;4106604;eur;
25030;LUNDI;10/03/2025;08/06/2025;23;24;13;15;39;1;13-15-23-24-39+1;0;2000000,00;0;149912,60;22;8477,30;304;434,10;1176;67,00;14584;19,40;16253;13,50;209485;4,10;200767;2,20;10;20000,00;G 5959 1751, G 6957 5358, N 7102 4550, L 9680 7236, F 0134 0629, A 8826 9434, R 8829 7138, Q 6865 7281, Q 6572 1096, R 4537 8439;6;9;21;34;47;;6-9-21-34-47;2;51248,00;172;612,70;8368;32,30;124658;3,00;3156171;eur;
25029;SAMEDI;08/03/2025;06/06/2025;18;2;10;3;11;2;2-3-10-11-18+2;2;2000000,00;6;43230,80;132;479,60;995;229,40;3857;35,30;36920;13,30;43861;8,70;433370;3,40;420015;2,20;10;20000,00;A 7782 4435, G 2834 4920, V 7883 3197, M 3272 0558, K 0052 3715, U 4763 8643, K 6665 0483, J 4986 2307, B 9668 1462, O 4761 4327;27;28;31;32;43;;27-28-31-32-43;1;178740,00;218;938,50;11664;45,10;192604;3,00;4827414;eur;
25028;MERCREDI;05/03/2025;03/06/2025;47;28;7;26;30;4;7-26-28-30-47+4;0;3000000,00;0;170799,80;30;7082,90;384;391,50;1911;47,00;17377;18,60;26071;9,60;244711;4,00;321508;2,20;10;20000,00;P 3100 3703, G 5296 3842, J 7182 7595, Q 5952 9529, R 0125 1276, A 5622 7578, D 9268 0330, K 2985 8324, Q 1700 2836, F 8851 2561;6;15;33;36;38;;6-15-33-36-38;0;122209,00;160;888,50;8235;44,30;128976;3,00;3800639;eur;
25027;LUNDI;03/03/2025;01/06/2025;41;13;28;6;4;1;4-6-13-28-41+1;0;2000000,00;0;149037,60;30;6180,40;408;321,50;1331;58,90;17003;16,50;18160;12,00;215180;4,00;211068;2,20;10;20000,00;Q 8299 0257, S 2511 0485, G 8066 3863, U 5858 8538, B 4719 6160, N 4029 6336, F 3982 1507, V 8160 4702, G 5053 0537, I 0224 8424;9;17;20;26;28;;9-17-20-26-28;3;34128,00;402;205,50;13341;15,90;151463;3,00;1783514;eur;
25026;SAMEDI;01/03/2025;30/05/2025;14;28;33;9;8;4;8-9-14-28-33+4;1;2000000,00;4;58215,00;87;653,20;559;366,70;2877;42,50;24666;17,80;39547;8,60;352005;3,80;446947;2,20;10;20000,00;M 8556 4840, W 7485 4424, U 8707 2344, R 2744 9914, C 5842 7481, G 9696 7723, L 9501 4960, V 4933 9464, B 3997 6661, B 7315 7386;2;17;26;40;41;;2-17-26-40-41;2;83698,00;286;662,60;11789;41,30;182886;3,00;3916433;eur;
25025;MERCREDI;26/02/2025;27/05/2025;44;11;3;15;17;9;3-11-15-17-44+9;1;19000000,00;3;71951,20;52;1013,10;541;351,20;2868;39,50;26037;15,60;36352;8,70;333818;3,70;410716;2,20;10;20000,00;G 4514 2517, F 0907 6622, M 9263 2222, L 9452 2529, C 5076 0257, A 1155 1826, K 8740 2200, V 6258 5554, P 4647 3701, R 2503 7321;5;11;32;34;35;;5-11-32-34-35;0;146639,00;194;845,40;10160;41,50;162579;3,00;8255854;eur;
25024;LUNDI;24/02/2025;25/05/2025;32;5;13;38;46;5;5-13-32-38-46+5;0;18000000,00;2;89091,00;35;1242,50;315;497,90;1917;48,80;14464;23,30;28678;9,10;222137;4,60;410440;2,20;10;20000,00;I 2068 9971, G 2617 6021, M 5518 9048, P 9805 2720, A 1656 7342, G 0266 9662, G 5914 7587, B 9540 6173, U 4818 7739, V 7213 6354;4;7;8;17;32;;4-7-8-17-32;1;127938,00;268;415,90;13490;21,20;179504;3,00;8591272;eur;
25023;SAMEDI;22/02/2025;23/05/2025;28;30;23;39;25;7;23-25-28-30-39+7;0;17000000,00;2;126485,10;73;845,80;504;441,80;3240;41,00;22700;21,00;52901;7,00;352486;4,10;764939;2,20;10;20000,00;W 7473 8054, A 7262 5316, B 5307 3081, Q 8150 3496, P 8291 2705, C 3986 1451, H 4272 8925, F 3533 0519, J 0957 8574, U 6910 2846;16;18;40;44;47;;16-18-40-44-47;1;198873,00;306;756,30;13436;44,20;209762;3,00;8157350;eur;
