date,day_of_week,n1,n2,n3,n4,n5,s1,s2
2015-07-21,MARDI   ,14,29,44,27,20,10,7
2015-07-17,Friday,21,48,22,1,43,9,7
2015-07-14,MARDI   ,34,18,36,19,6,1,8
2015-07-10,Friday,35,8,15,5,41,5,4
2015-07-07,MARDI   ,7,41,33,18,6,10,3
2015-07-03,Friday,11,18,44,15,12,3,9
2015-06-30,MARDI   ,11,28,15,34,37,1,8
2015-06-26,Friday,10,19,6,3,24,5,7
2015-06-23,MARDI   ,16,38,4,22,49,6,9
2015-06-19,Friday,7,14,20,31,42,9,3
2015-06-16,MARDI   ,15,10,36,16,37,3,9
2015-06-12,Friday,11,10,37,5,8,9,7
2015-06-09,MARDI   ,5,34,17,9,32,8,6
2015-06-05,Friday,8,7,2,48,45,9,1
2015-06-02,MARDI   ,23,7,41,29,37,1,8
2015-05-29,Friday,4,20,48,45,3,8,6
2015-05-26,MARDI   ,6,24,7,21,5,6,5
2015-05-22,Friday,18,44,35,24,45,5,11
2015-05-19,MARDI   ,35,37,31,26,30,11,8
2015-05-15,Friday,47,42,44,5,35,9,8
2015-05-12,MARDI   ,29,30,14,46,40,3,6
2015-05-08,Friday,14,19,49,7,47,10,3
2015-05-05,MARDI   ,1,17,10,42,20,9,8
2015-05-01,Friday,19,26,20,25,3,6,10
2015-04-28,MARDI   ,36,24,28,26,45,10,7
2015-04-24,Friday,31,5,40,29,19,3,10
2015-04-21,MARDI   ,14,42,17,6,45,8,1
2015-04-17,Friday,39,2,34,24,30,11,8
2015-04-14,MARDI   ,49,34,32,24,35,2,1
2015-04-10,Friday,25,43,22,23,30,5,9
2015-04-07,MARDI   ,39,25,50,44,18,8,5
2015-04-03,Friday,39,37,49,29,27,4,2
2015-03-31,MARDI   ,8,28,20,24,49,8,9
2015-03-27,Friday,30,39,32,44,2,10,6
2015-03-24,MARDI   ,40,10,39,24,26,3,10
2015-03-20,Friday,3,14,42,48,37,1,10
2015-03-17,MARDI   ,11,23,44,38,26,8,1
2015-03-13,Friday,4,5,22,18,23,3,1
2015-03-10,MARDI   ,31,30,2,6,23,10,2
2015-03-06,Friday,47,30,49,50,23,7,2
2015-03-03,MARDI   ,6,21,13,8,11,8,7
2015-02-27,Friday,17,25,14,5,47,10,9
2015-02-24,MARDI   ,3,28,25,34,50,1,11
2015-02-20,Friday,37,46,10,4,14,4,7
2015-02-17,MARDI   ,5,2,18,43,30,10,1
2015-02-13,Friday,24,12,39,44,42,3,11
2015-02-10,MARDI   ,30,45,20,13,17,9,10
2015-02-06,Friday,50,30,10,26,39,8,7
2015-02-03,MARDI   ,50,44,17,31,33,11,7
2015-01-30,Friday,9,24,15,13,19,3,8
2015-01-27,MARDI   ,10,33,5,31,40,10,8
2015-01-23,Friday,30,45,29,38,6,8,1
2015-01-20,MARDI   ,33,47,15,41,44,10,8
2015-01-16,Friday,34,32,29,30,46,6,3
2015-01-13,MARDI   ,34,31,21,8,17,10,9
2015-01-09,Friday,6,32,45,21,24,1,11
2015-01-06,MARDI   ,20,38,30,14,49,4,3
2015-01-02,Friday,24,25,49,28,22,3,6
2014-12-30,MARDI   ,6,18,39,50,44,11,8
2014-12-26,Friday,26,45,27,49,17,2,3
2014-12-23,MARDI   ,49,25,9,19,8,10,2
2014-12-19,Friday,39,44,23,29,31,5,8
2014-12-16,MARDI   ,13,7,3,25,12,5,8
2014-12-12,Friday,28,2,15,31,37,4,6
2014-12-09,MARDI   ,31,1,3,42,46,11,4
2014-12-05,Friday,5,8,48,47,37,3,2
2014-12-02,MARDI   ,15,25,3,49,44,9,1
2014-11-28,Friday,10,23,6,41,15,10,4
2014-11-25,MARDI   ,32,7,36,3,25,1,6
2014-11-21,Friday,28,32,7,37,4,5,10
2014-11-18,MARDI   ,3,2,36,38,17,11,4
2014-11-14,Friday,36,32,38,48,17,8,5
2014-11-11,MARDI   ,46,14,36,2,21,11,7
2014-11-07,Friday,32,13,38,46,25,10,1
2014-11-04,MARDI   ,1,13,6,26,17,3,5
